Province,District,Long,Lat,Ele,River ,Flat,"Main OCC
Farming
0:No
1:Yes","Second OCC
Farming
0:No
1:Yes","Migration
BackG
0:No
1:Yes","Literate
0:no
1:yes","Gender 
0:F
1:M",Age,"Work on
farm","Work off
farm"," Not
 employed   ","Female
 work
on farm","Importance
of farming
0:not atll Impornt
1:importnt
2:Very impornt","Crop Net
Income",t4,r4
1,4,67.17886,34.376598,3199.28418,1,0,1,1,1,1,1,40,1,1,9,3,2,116500,1.3674365,37.00553425
1,4,67.009852,34.388946,3183.802002,1,0,1,1,0,0,1,45,8,0,4,4,2,94000,1.46992775,44.35088925
1,4,67.029377,34.404045,3194.324219,1,0,1,1,1,0,1,50,0,0,6,0,0,23850,1.38408125,44.0605935
1,4,67.02486,34.391982,3185.346436,1,1,1,1,0,1,1,18,1,9,0,0,0,599200,1.46165025,43.5940235
1,4,67.182027,34.383448,3204.081787,0,1,1,1,1,1,1,42,1,2,4,1,2,141000,1.287605,37.10487475
1,4,67.019439,34.375766,3176.272949,1,1,1,1,0,0,1,40,2,0,10,2,1,61670,1.544096,43.10471425
1,4,67.190605,34.40534,3208.609619,1,1,1,1,0,0,1,33,1,0,8,0,1,12500,1.22557075,37.372281
1,4,67.178015,34.380975,3199.28418,1,1,0,1,0,1,1,38,4,1,7,5,2,106520,1.3674365,37.00553425
2,8,67.531287,32.952975,2442.325684,0,1,0,0,0,1,1,66,0,2,8,0,2,-7550,9.8786145,41.33291925
2,8,67.405357,32.965742,2528.24292,0,0,1,0,1,0,1,75,2,0,6,4,2,-7150,9.206886,52.2879135
2,8,67.538623,32.950433,2442.325684,0,1,0,0,1,1,1,54,1,1,5,0,2,-8560,9.8786145,41.33291925
2,8,67.531437,32.953183,2442.325684,0,1,1,0,1,0,1,70,1,0,10,2,2,0,9.8786145,41.33291925
2,8,67.654768,33.36363,2932.893799,0,0,1,0,0,0,1,50,2,0,7,1,2,5600,5.0887425,101.9250928
2,8,67.251878,33.041775,2708.797363,0,0,0,0,0,0,0,46,2,0,6,1,2,6935,7.42401725,82.19993575
2,8,67.654518,33.36886,2932.893799,0,0,1,1,0,0,1,23,2,0,1,1,2,29900,5.0887425,101.9250928
2,8,67.654262,33.36874,2932.893799,0,0,1,0,0,1,1,31,2,0,5,1,2,4560,5.0887425,101.9250928
2,8,67.382085,33.261332,2949.124512,0,0,0,0,0,1,1,19,1,0,7,1,2,4000,5.1168925,102.785038
2,8,67.53665,32.956138,2442.325684,0,1,1,0,1,0,1,67,1,0,6,3,2,1610,9.8786145,41.33291925
2,8,67.251887,33.033097,2689.387695,0,0,1,1,0,1,1,18,3,0,4,2,2,30550,7.56143025,81.2811605
2,8,67.263437,33.101822,2803.876465,0,0,0,1,1,0,1,40,2,1,4,2,2,5500,6.514585,87.85785475
2,8,67.551673,33.18316,2722.486816,0,0,0,0,1,0,1,45,2,0,6,1,2,-4200,6.4628,89.16145725
2,8,67.263398,33.101825,2803.876465,0,0,1,1,1,0,1,65,3,0,4,2,2,-15760,6.514585,87.85785475
2,8,67.221733,33.200322,2970.23877,1,0,0,1,1,0,1,52,2,0,5,3,2,-6400,5.1408485,97.2285805
2,8,67.53082,32.952768,2442.325684,0,1,0,0,1,1,1,60,0,0,9,0,0,-400,9.8786145,41.33291925
2,8,67.327247,33.22794,2948.756836,0,0,1,0,1,0,1,52,0,1,7,0,0,-800,5.2159655,99.29837025
2,8,67.412543,32.973325,2546.11377,0,0,1,0,1,1,1,43,4,0,6,2,2,39600,9.0755395,53.7091865
2,8,67.531275,32.95316,2442.325684,0,1,1,1,1,1,1,32,2,0,3,1,2,-18200,9.8786145,41.33291925
2,8,67.252108,33.031637,2689.387695,0,0,1,1,1,0,1,65,2,0,5,1,2,37860,7.56143025,81.2811605
2,8,67.654462,33.368887,2932.893799,0,0,1,1,1,0,1,76,5,0,7,3,2,-235,5.0887425,101.9250928
2,8,67.563153,33.000102,2490.602295,0,0,0,1,1,1,1,42,2,0,6,1,2,-13240,9.461774,46.70754725
2,8,67.571507,33.195293,2729.106445,0,0,0,0,1,0,1,63,1,0,8,1,2,-1200,6.432052,89.26576225
2,8,67.36458,33.229043,2926.23999,1,0,1,0,1,0,1,57,2,0,6,3,2,2000,5.376414,99.693777
2,8,67.397767,33.274465,2951.804199,1,0,1,0,1,1,1,64,2,0,1,1,1,120650,5.044752,103.0457725
2,8,67.373105,33.233887,2931.391113,0,0,1,0,1,0,1,66,2,0,10,1,2,-230,5.30274925,100.8903353
2,8,67.56293,32.999902,2490.602295,0,1,0,0,1,1,1,37,0,1,5,0,1,9610,9.461774,46.70754725
2,8,67.5519,33.183923,2738.986328,0,0,1,0,1,0,1,67,3,1,4,2,2,11500,6.31406925,91.124178
2,8,67.372035,33.233925,2931.391113,0,0,1,1,1,0,1,55,3,0,3,2,2,2150,5.30274925,100.8903353
